county,seat,data,open,resources,gis,gis-data,gis-pay,gis-license,gis-site,pva,pva-map,pva-data,pva-site
Adair,Columbia,no,no,,no,no,,,,yes,subscription,individual,http://www.qpublic.net/ky/adair/
Allen,Scottsville,no,no,,no,no,,,,yes,subscription,paid,http://www.allenpva.ky.gov/
Anderson,Lawrenceburg,no,no,,no,no,,,,yes,subscription,individual,http://qpublic.net/ky/anderson/
Ballard,Wickliffe,no,no,,no,no,,,,yes,subscription,individual,http://www.qpublic.net/ky/ballard/
Barren,Glasgow,no,no,,no,no,,,,yes,subscription,individual,http://qpublic.net/ky/barren/
Bath,Owingsville,no,no,,no,no,,,,yes,subscription,individual,http://www.qpublic.net/ky/bath/search.html
Bell,Pineville,no,no,,no,no,,,,yes,no,individual,http://www.bellpva.com/
Boone,Burlington,no,no,,yes,yes,paid,restrictive,http://www.boonecountygis.com/,yes,yes,individual,http://boonepva.ky.gov/
Bourbon,Paris,no,no,,no,no,,,,yes,yes,individual,http://www.qpublic.net/ky/bourbon/
Boyd,Catlettsburg,no,no,,no,no,,,,yes,subscription,individual,http://www.boydpva.com/
Boyle,Danville,no,no,,no,no,,,,yes,subscription,individual,http://www.boylepva.com/
Bracken,Brooksville,no,no,,no,no,,,,yes,subscription,individual,http://www.qpublic.net/ky/bracken/
Breathitt,Jackson,no,no,,no,no,,,,yes,no,no,
Breckinridge,Hardinsburg,no,no,,no,no,,,,yes,subscription,individual,http://www.qpublic.net/ky/breckinridge/
Bullitt,Shepherdsville,no,no,,no,no,,,,yes,subscription,individual,http://www.qpublic.net/ky/bullitt
Butler,Morgantown,no,no,,no,no,,,,yes,subscription,individual,http://www.qpublic.net/ky/butler/
Caldwell,Princeton,no,no,,no,no,,,,yes,no,individual,
Calloway,Murray,no,no,,yes,no,,,http://www.murrayky.gov/planning/gis/index.htm,yes,no,individual,http://qpublic.net/ky/calloway/
Campbell,Alexandria and Newport,no,no,,yes,yes,paid,undefined,http://www.linkgis.org/lghome/,yes,no,individual,http://www.campbellcountykypva.org/
Carlisle,Bardwell,no,no,,no,no,,,,yes,no,individual,http://www.qpublic.net/ky/carlisle/
Carroll,Carrollton,no,no,,no,no,,,,yes,no,no,
Carter,Grayson,no,no,,no,no,,,,yes,subscription,individual,http://www.qpublic.net/ky/carter/
Casey,Liberty,no,no,,no,no,,,,yes,subscription,individual,http://www.qpublic.net/ky/casey/
Christian,Hopkinsville,no,no,,no,no,,,,yes,subscription,subscription,http://www.christianpva.com/
Clark,Winchester,no,no,,yes,no,,,http://www.ccgisonline.com/,yes,subscription,individual,http://www.qpublic.net/ky/clark/
Clay,Manchester,no,no,,no,no,,,,yes,no,no,
Clinton,Albany,no,no,,no,no,,,,yes,no,no,
Crittenden,Marion,no,no,,no,no,,,,yes,subscription,individual,http://www.qpublic.net/ky/crittenden/
Cumberland,Burkesville,no,no,,no,no,,,,yes,no,no,
Daviess,Owensboro,no,no,,no,no,,,,yes,yes,individual,http://www.daviesskypva.org/
Edmonson,Brownsville,no,no,,no,no,,,,yes,subscription,individual,http://www.qpublic.net/ky/edmonson/
Elliott,Sandy Hook,no,no,,no,no,,,,yes,no,individual,http://qpublic.net/ky/elliott/
Estill,Irvine,no,no,,no,no,,,,yes,no,no,http://www.estillky.com/pva.html
Fayette,Lexington,yes,yes,http://data.lexingtonky.gov/,yes,yes,free,open,http://www.lexingtonky.gov/index.aspx?page=416,yes,yes,individual,http://www.fayette-pva.com/
Fleming,Flemingsburg,no,no,,no,no,,,,yes,no,no,http://www.flemingpva.com/
Floyd,Prestonsburg,no,no,,no,no,,,,yes,subscription,individual,http://www.qpublic.net/ky/floyd/
Franklin,Frankfort,no,no,,no,no,,,,yes,no,no,http://www.franklincountypva.com/
Fulton,Hickman,no,no,,no,no,,,,yes,subscription,individual,http://www.qpublic.net/ky/fulton/index.php?case=13
Gallatin,Warsaw,no,no,,no,no,,,,yes,no,no,
Garrard,Lancaster,no,no,,no,no,,,,yes,,,http://www.garrardpva.com/Home.aspx
Grant,Williamstown,no,no,,no,no,,,,yes,subscription,individual,http://www.qpublic.net/ky/grant/
Graves,Mayfield,no,no,,no,no,,,,yes,subscription,subscription,http://www.qpublic.net/ky/graves/
Grayson,Leitchfield,no,no,,no,no,,,,yes,no,no,
Green,Greensburg,no,no,,no,no,,,,yes,subscription,individual,http://www.qpublic.net/ky/green/
Greenup,Greenup,no,no,,no,no,,,,yes,subscription,individual,http://www.qpublic.net/ky/greenup/
Hancock,Hawesville,no,no,,no,no,,,,yes,subscription,individual,http://www.qpublic.net/ky/hancock/
Hardin,Elizabethtown,no,no,,no,no,,,,yes,subscription,individual,http://www.qpublic.net/ky/hardin
Harlan,Harlan,no,no,,no,no,,,,yes,subscription,individual,http://www.qpublic.net/ky/harlan/
Harrison,Cynthiana,no,no,,no,no,,,,yes,no,individual,http://www.harrisoncountypva.com/
Hart,Munfordville,no,no,,no,no,,,,yes,subscription,individual,http://www.qpublic.net/ky/hart/
Henderson,Henderson,no,no,,yes,no,,,http://hccgis.com/,yes,subscription,individual,http://qpublic.net/ky/henderson/
Henry,New Castle,no,no,,no,no,,,,yes,no,individual,http://www.henrypva.com/Home.aspx
Hickman,Clinton,no,no,,no,no,,,,yes,no,individual,http://www.qpublic.net/ky/hickman/
Hopkins,Madisonville,no,no,,yes,no,,,http://hopkinscounty.ky.gov/index.php/gis,yes,subscription,individual,http://www.qpublic.net/ky/hopkins/
Jackson,McKee,no,no,,no,no,,,,yes,no,no,
Jefferson,Louisville,yes,yes,http://portal.louisvilleky.gov/service/data,yes,yes,free,open,http://www.lojic.org/main/,yes,yes,individual,https://jeffersonpva.ky.gov/
Jessamine,Nicholasville,no,no,,no,no,,,,yes,yes,individual,http://www.jessaminepva.com/
Johnson,Paintsville,no,no,,no,no,,,,yes,subscription,individual,http://www.qpublic.net/ky/johnson/
Kenton,Covington and Independence,no,no,,yes,yes,paid,undefined,http://www.linkgis.org/lghome/,yes,yes,individual,http://www.kentonpva.com/
